gene_id	GSM5909294	GSM5909295	GSM5909296	GSM5909297	GSM5909298	GSM5909299	GSM5909300	GSM5909301	GSM5909302	GSM5909303	GSM5909304	GSM5909305	GSM5909306	GSM5909307	GSM5909308	GSM5909309
ENSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	902	570	680	864	1012	958	1329	1337	781	938	936	996	744	896	868	1124
ENSG00000000457	696	508	467	577	651	914	962	821	620	536	463	673	581	576	430	715
ENSG00000000460	432	348	408	428	234	300	305	225	260	114	61	259	252	86	65	257
ENSG00000000938	16	0	2	10	13	5	5	5	3	3	5	4	6	1	1	3
ENSG00000000971	10477.35	12280.53	9320.79	9959.29	8164.49	11472.43	10466.26	8164.45	9134	21963.91	8850.8	6068	8282.72	20104.72	7148	5877
ENSG00000001036	373	219	226	329	347	263	205	219	109	146	204	164	116	83	166	179
ENSG00000001084	1272	296	178	702	1183	547	423	745	978	274	110	465	869	301	150	525
ENSG00000001167	1501	1295	1107	1450	1477	1666	1752	2160	1660	1815	1183	1105	1580	1762	1179	1443
ENSG00000001460	366	311	176	251	281	444	296	319	205	177	131	165	138	153	101	155
ENSG00000001461	3632	1358	1365	2250	3014	1740	1823	2389	2628	1097	1049	1719	2398	1095	742	1706
ENSG00000001497	1151	871	880	1298	1009	995	974	893	1118	602	521	868	1007	478	429	979
ENSG00000001561	1451	2946	1913	2114	1589	4611	3350	2822	1453	1733	2162	1248	1279	1458	2078	1404
ENSG00000001617	2	11	62	16	3	12	60	18	29	24	55	10	30	21	82	17
ENSG00000001626	362	1434	761	430	217	1608	1020	339	285	1958	1380	1344	134	1678	980	1151
ENSG00000001629	3990	2345	1908	2992	3559	2692	2760	3136	3272	2442	2151	2454	3259	2140	1980	2582
ENSG00000001630	3611.94	2816.99	2729	3885.97	3092	4136.99	3652.97	3715.34	1952.99	2516.99	1636	1611	1686	2018.97	1122	1550
ENSG00000001631	1301.81	1403.45	1072.94	1320	1068.34	1063.43	1501.13	1023.5	1697.54	1064.05	1012.05	1275	1607.48	893.61	951.17	1284.3
