Soucer	Target	Values
0	15	11
0	16	11
0	17	11
0	18	11
0	20	11
0	22	11
0	25	11
0	26	11
0	27	11
0	28	11
0	31	11
1	16	11
1	17	11
1	25	11
1	26	11
1	27	11
1	28	11
1	29	11
1	30	11
1	31	11
1	32	11
1	33	11
2	15	10
2	16	10
2	17	10
2	18	10
2	20	10
2	21	10
2	22	10
2	25	10
2	27	10
2	28	10
3	17	10
3	25	10
3	26	10
3	27	10
3	28	10
3	29	10
3	30	10
3	31	10
3	32	10
3	33	10
4	17	8
4	18	8
4	22	8
4	25	8
4	26	8
4	28	8
4	30	8
4	31	8
5	16	10
5	17	10
5	18	10
5	20	10
5	22	10
5	26	10
5	28	10
5	30	10
5	31	10
5	34	10
6	29	5
6	30	5
6	31	5
6	32	5
6	33	5
7	29	5
7	30	5
7	31	5
7	32	5
7	33	5
8	16	3
8	20	3
8	25	3
9	15	3
9	16	3
9	19	3
10	15	4
10	18	4
10	24	4
10	31	4
11	25	5
11	27	5
11	28	5
11	29	5
11	34	5
12	15	7
12	17	7
12	18	7
12	21	7
12	22	7
12	24	7
12	25	7
13	15	3
13	18	3
13	24	3
14	15	2
14	23	2
